[Report Generation Time (2023/12/06 17:31:26.075 )]
[Summary]
=========================[MMRF Temperature Sensor calibration]              Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.000
Calibration Procedure         0.110
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.090
=========================[MMRF Temperature Sensor calibration]              End=========================
=========================[Multi-Mode self calibration]                      Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.000
Calibration Procedure         51.577
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.050
=========================[Multi-Mode self calibration]                      End=========================
=========================[GSM FHC DTS ( AFC )]                              Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.270
Calibration Procedure         2.279
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.229
=========================[GSM FHC DTS ( AFC )]                              End=========================
=========================[LTE MM TMS calibration]                           Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.000
Calibration Procedure         1.220
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.170
=========================[LTE MM TMS calibration]                           End=========================
=========================[GSM FHC DTS ( AGC )]                              Start=========================
Item                          Time(s)   
Parse Config                  0.040
Read Initial Files            0.060
Calibration Procedure         3.538
Retry Procedure               0.000
Check Result                  0.060
Write NVRam & Output          0.120
=========================[GSM FHC DTS ( AGC )]                              End=========================
=========================[GSM FHC UTS]                                      Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.180
Calibration Procedure         3.888
Retry Procedure               0.000
Check Result                  1.089
Write NVRam & Output          0.240
=========================[GSM FHC UTS]                                      End=========================
=========================[GSM Path Test]                                    Start=========================
Item                          Time(s)   
Parse Config                  0.000
Read Initial Files            0.000
Calibration Procedure         0.000
Retry Procedure               0.000
Check Result                  0.000
Write NVRam & Output          0.010
=========================[GSM Path Test]                                    End=========================
[Report Generation Time (2023/12/06 17:31:26.075 )]
[MMRF Temperature Sensor calibration]
 Start Time:12/06/23 17:30:19.915 
Sample, Value
35.00, 550
    Total: 200 ms
[Multi-Mode self calibration]
 Start Time:12/06/23 17:30:20.115 
    Total: 51627 ms
[GSM FHC DTS ( AFC )]
 Start Time:12/06/23 17:31:11.922 
    Total: 2778 ms
[GSM CAP ID]
    CAP ID,        MIN,        MAX, Check Result
        72,          0,        255,         PASS
[GSM AFC Calibration]
[DCXO LPM Calibration]
Cload
65020
[AFC Calibration]
  Init DAC,    MIN DAC,    MAX DAC, Check Result
      4156,       3000,       6000,       PASS
     Slope,  MIN Slope,  MAX Slope, Check Result
  4.129032,   1.000000,   5.000000,       PASS
[LTE MM TMS calibration]
 Start Time:12/06/23 17:31:14.860 
    Total: 1390 ms
[GSM FHC DTS ( AGC )]
 Start Time:12/06/23 17:31:16.250 
    Total: 3818 ms
[GSM AGC Calibration]
[AGC Calibration]
Band: (GSM850)
Arfcn, PathLoss(M), PathLoss(D), MAX(M), MAX(D), MIN(M), MIN(D), Check Result
150, 10.125, 5.500, 20.000, 20.000, -20.000, -20.000, PASS
170, 9.000, 4.625, 20.000, 20.000, -20.000, -20.000, PASS
190, 10.500, 4.125, 20.000, 20.000, -20.000, -20.000, PASS
210, 10.500, 4.750, 20.000, 20.000, -20.000, -20.000, PASS
230, 9.125, 5.625, 20.000, 20.000, -20.000, -20.000, PASS
251, 9.500, 5.500, 20.000, 20.000, -20.000, -20.000, PASS
150, 7.375, 2.125, 20.000, 20.000, -20.000, -20.000, PASS
170, 6.250, 1.125, 20.000, 20.000, -20.000, -20.000, PASS
190, 7.750, 0.750, 20.000, 20.000, -20.000, -20.000, PASS
210, 7.750, 1.250, 20.000, 20.000, -20.000, -20.000, PASS
230, 6.375, 2.125, 20.000, 20.000, -20.000, -20.000, PASS
251, 6.750, 2.000, 20.000, 20.000, -20.000, -20.000, PASS
150, 7.625, 2.125, 20.000, 20.000, -20.000, -20.000, PASS
170, 6.500, 1.125, 20.000, 20.000, -20.000, -20.000, PASS
190, 7.875, 0.750, 20.000, 20.000, -20.000, -20.000, PASS
210, 7.875, 1.250, 20.000, 20.000, -20.000, -20.000, PASS
230, 6.500, 2.125, 20.000, 20.000, -20.000, -20.000, PASS
251, 6.875, 2.000, 20.000, 20.000, -20.000, -20.000, PASS
150, 5.750, 2.875, 20.000, 20.000, -20.000, -20.000, PASS
170, 5.125, 1.750, 20.000, 20.000, -20.000, -20.000, PASS
190, 6.250, 1.250, 20.000, 20.000, -20.000, -20.000, PASS
210, 5.875, 1.875, 20.000, 20.000, -20.000, -20.000, PASS
230, 5.000, 2.625, 20.000, 20.000, -20.000, -20.000, PASS
251, 5.250, 2.625, 20.000, 20.000, -20.000, -20.000, PASS
150, 6.750, 3.000, 20.000, 20.000, -20.000, -20.000, PASS
170, 6.125, 2.500, 20.000, 20.000, -20.000, -20.000, PASS
190, 7.000, 3.000, 20.000, 20.000, -20.000, -20.000, PASS
210, 6.625, 3.875, 20.000, 20.000, -20.000, -20.000, PASS
230, 5.875, 4.250, 20.000, 20.000, -20.000, -20.000, PASS
251, 6.250, 3.500, 20.000, 20.000, -20.000, -20.000, PASS
Band: (GSM900)
Arfcn, PathLoss(M), PathLoss(D), MAX(M), MAX(D), MIN(M), MIN(D), Check Result
31, 8.750, 7.000, 20.000, 20.000, -20.000, -20.000, PASS
43, 8.750, 6.500, 20.000, 20.000, -20.000, -20.000, PASS
77, 10.250, 5.875, 20.000, 20.000, -20.000, -20.000, PASS
100, 10.250, 6.125, 20.000, 20.000, -20.000, -20.000, PASS
124, 9.625, 7.125, 20.000, 20.000, -20.000, -20.000, PASS
1023, 9.625, 6.625, 20.000, 20.000, -20.000, -20.000, PASS
31, 6.000, 3.250, 20.000, 20.000, -20.000, -20.000, PASS
43, 5.875, 2.750, 20.000, 20.000, -20.000, -20.000, PASS
77, 7.500, 2.125, 20.000, 20.000, -20.000, -20.000, PASS
100, 7.375, 2.375, 20.000, 20.000, -20.000, -20.000, PASS
124, 6.875, 3.250, 20.000, 20.000, -20.000, -20.000, PASS
1023, 7.000, 3.000, 20.000, 20.000, -20.000, -20.000, PASS
31, 6.125, 3.375, 20.000, 20.000, -20.000, -20.000, PASS
43, 6.000, 2.875, 20.000, 20.000, -20.000, -20.000, PASS
77, 7.500, 2.125, 20.000, 20.000, -20.000, -20.000, PASS
100, 7.500, 2.375, 20.000, 20.000, -20.000, -20.000, PASS
124, 6.875, 3.375, 20.000, 20.000, -20.000, -20.000, PASS
1023, 7.125, 3.000, 20.000, 20.000, -20.000, -20.000, PASS
31, 5.250, 4.000, 20.000, 20.000, -20.000, -20.000, PASS
43, 5.375, 3.500, 20.000, 20.000, -20.000, -20.000, PASS
77, 7.000, 2.625, 20.000, 20.000, -20.000, -20.000, PASS
100, 6.500, 2.750, 20.000, 20.000, -20.000, -20.000, PASS
124, 6.125, 3.750, 20.000, 20.000, -20.000, -20.000, PASS
1023, 6.375, 3.375, 20.000, 20.000, -20.000, -20.000, PASS
31, 6.125, 3.250, 20.000, 20.000, -20.000, -20.000, PASS
